,loss,mean_squared_error
0,1.7751513041730504e-06,1.7751513041730504e-06
1,1.2539378531073453e-06,1.2539378531073453e-06
2,1.1662929182421067e-06,1.1662929182421067e-06
3,1.1191330031579128e-06,1.1191330031579128e-06
4,1.0727702601798228e-06,1.0727702601798228e-06
5,1.0418428928460344e-06,1.0418428928460344e-06
6,9.874280522126355e-07,9.874280522126355e-07
7,9.701064982436947e-07,9.701064982436947e-07
8,9.840108532443992e-07,9.840108532443992e-07
9,9.77150534708926e-07,9.77150534708926e-07
10,9.42581436902401e-07,9.42581436902401e-07
11,9.247156071978679e-07,9.247156071978679e-07
12,9.101778459807974e-07,9.101778459807974e-07
13,8.931376100917987e-07,8.931376100917987e-07
14,8.789620551397093e-07,8.789620551397093e-07
15,8.787905017015873e-07,8.787905017015873e-07
16,8.707549454811669e-07,8.707549454811669e-07
17,8.701920819476072e-07,8.701920819476072e-07
18,8.64115065724036e-07,8.64115065724036e-07
19,8.672607805237931e-07,8.672607805237931e-07
20,8.550420034225681e-07,8.550420034225681e-07
21,8.492124834447168e-07,8.492124834447168e-07
22,8.462670280096063e-07,8.462670280096063e-07
23,8.424865995948494e-07,8.424865995948494e-07
24,8.488050866617414e-07,8.488050866617414e-07
25,8.453737336822087e-07,8.453737336822087e-07
26,8.42064480366389e-07,8.42064480366389e-07
27,8.299258524857578e-07,8.299258524857578e-07
28,8.341335160366725e-07,8.341335160366725e-07
29,8.394396786570724e-07,8.394396786570724e-07
30,8.338607813129784e-07,8.338607813129784e-07
31,8.235932114075695e-07,8.235932114075695e-07
32,8.298399620798591e-07,8.298399620798591e-07
33,8.205502126656938e-07,8.205502126656938e-07
34,8.244607556662231e-07,8.244607556662231e-07
35,8.254744443547679e-07,8.254744443547679e-07
36,8.349560403075884e-07,8.349560403075884e-07
37,8.185487558876048e-07,8.185487558876048e-07
38,8.158302193805866e-07,8.158302193805866e-07
39,8.122121926135151e-07,8.122121926135151e-07
40,8.112453997455304e-07,8.112453997455304e-07
41,8.077188340394059e-07,8.077188340394059e-07
42,7.994124189281138e-07,7.994124189281138e-07
43,8.095947805486503e-07,8.095947805486503e-07
44,8.11078564311174e-07,8.11078564311174e-07
45,7.995383271008905e-07,7.995383271008905e-07
46,8.002706408660742e-07,8.002706408660742e-07
47,8.148083452397259e-07,8.148083452397259e-07
48,8.114197953545954e-07,8.114197953545954e-07
49,8.167297664840589e-07,8.167297664840589e-07
50,8.137246254591446e-07,8.137246254591446e-07
51,8.237107635977736e-07,8.237107635977736e-07
52,8.217283493650029e-07,8.217283493650029e-07
53,8.248532026300381e-07,8.248532026300381e-07
54,8.123928409986547e-07,8.123928409986547e-07
55,8.261401376330468e-07,8.261401376330468e-07
56,8.068851116149744e-07,8.068851116149744e-07
57,8.067477779150067e-07,8.067477779150067e-07
58,8.055147304730781e-07,8.055147304730781e-07
59,8.088725280686049e-07,8.088725280686049e-07
60,8.007301062207262e-07,8.007301062207262e-07
61,8.070255148595606e-07,8.070255148595606e-07
62,8.026535738281382e-07,8.026535738281382e-07
63,8.046568495956308e-07,8.046568495956308e-07
64,8.035896144065191e-07,8.035896144065191e-07
65,7.979995189089095e-07,7.979995189089095e-07
66,7.971282229846111e-07,7.971282229846111e-07
67,7.913575927886995e-07,7.913575927886995e-07
68,7.984988883436017e-07,7.984988883436017e-07
69,8.051034114942013e-07,8.051034114942013e-07
70,7.975183962116716e-07,7.975183962116716e-07
71,7.990029189386405e-07,7.990029189386405e-07
72,7.925505087769125e-07,7.925505087769125e-07
73,8.015186381271633e-07,8.015186381271633e-07
74,7.931469099276001e-07,7.931469099276001e-07
75,8.009687917365227e-07,8.009687917365227e-07
76,7.969354101078352e-07,7.969354101078352e-07
77,7.924824103611172e-07,7.924824103611172e-07
78,7.909971486697032e-07,7.909971486697032e-07
79,7.941791295706935e-07,7.941791295706935e-07
80,7.868434295232873e-07,7.868434295232873e-07
81,7.995834607754659e-07,7.995834607754659e-07
82,7.942348929645959e-07,7.942348929645959e-07
83,7.84843734891183e-07,7.84843734891183e-07
84,7.857751143092173e-07,7.857751143092173e-07
85,7.783829119034635e-07,7.783829119034635e-07
86,7.911742159194546e-07,7.911742159194546e-07
87,7.763985081510327e-07,7.763985081510327e-07
88,7.852049748180434e-07,7.852049748180434e-07
89,7.840654916435597e-07,7.840654916435597e-07
90,7.890225219853164e-07,7.890225219853164e-07
91,7.818277936166851e-07,7.818277936166851e-07
92,7.913241688584094e-07,7.913241688584094e-07
93,7.827337071830698e-07,7.827337071830698e-07
94,7.817099003659678e-07,7.817099003659678e-07
95,7.810174906808243e-07,7.810174906808243e-07
96,7.915645596767718e-07,7.915645596767718e-07
97,7.815082767592685e-07,7.815082767592685e-07
98,7.837890620976395e-07,7.837890620976395e-07
99,7.89320381500147e-07,7.89320381500147e-07
