,loss,mean_squared_error
0,0.0002028857998084277,0.00020288597443141043
1,4.657766839955002e-05,4.65776574856136e-05
2,3.668650970212184e-05,3.6686491512227803e-05
3,2.874964411603287e-05,2.874963502108585e-05
4,2.067511377390474e-05,2.067511923087295e-05
5,1.4718740203534253e-05,1.471873838454485e-05
6,1.0597600521577988e-05,1.0597603250062093e-05
7,8.938235623645596e-06,8.938232895161491e-06
8,8.095982593658846e-06,8.09598441264825e-06
9,6.443452548410278e-06,6.443452548410278e-06
10,5.92336891713785e-06,5.923370281379903e-06
11,5.390237220126437e-06,5.390236765379086e-06
12,4.920705578115303e-06,4.92070421387325e-06
13,4.4480084397946484e-06,4.448009804036701e-06
14,4.252278813510202e-06,4.252279268257553e-06
15,4.1827438508335035e-06,4.182743396086153e-06
16,3.933283551305067e-06,3.933282641810365e-06
17,3.7063803119963268e-06,3.7063800846226513e-06
18,3.6657831969932886e-06,3.665780923256534e-06
19,3.4334113934164634e-06,3.4334145766479196e-06
20,3.345525101394742e-06,3.3455239645263646e-06
21,3.0691828669660026e-06,3.069183549087029e-06
22,2.932269580924185e-06,2.9322704904188868e-06
23,3.22897540172562e-06,3.2289751743519446e-06
24,2.6152865757467225e-06,2.6152865757467225e-06
25,2.808441877277801e-06,2.8084421046514763e-06
26,2.4602657049399568e-06,2.4602657049399568e-06
27,2.5246104087273125e-06,2.5246092718589352e-06
28,2.4745588689256692e-06,2.4745586415519938e-06
29,2.363134626648389e-06,2.3631350813957397e-06
30,2.2478984647023026e-06,2.247898237328627e-06
31,2.2356291538017103e-06,2.2356302906700876e-06
32,2.012109462157241e-06,2.0121085526625393e-06
33,2.0061179384356365e-06,2.0061183931829873e-06
34,2.075661313938326e-06,2.075661313938326e-06
35,1.8949459672512603e-06,1.8949463083117735e-06
36,1.6984024568955647e-06,1.6984030253297533e-06
37,1.7868429722511792e-06,1.7868436543722055e-06
38,1.8556113445811206e-06,1.8556113445811206e-06
39,1.4873829741191003e-06,1.4873829741191003e-06
40,1.6571101468798588e-06,1.6571101468798588e-06
41,1.629616235732101e-06,1.6296173726004781e-06
42,1.3115906085658935e-06,1.3115910633132444e-06
43,1.577578586875461e-06,1.5775783595017856e-06
44,1.5856238633205066e-06,1.5856242043810198e-06
45,1.1673837434500456e-06,1.167383970823721e-06
46,1.4761465081392089e-06,1.4761465081392089e-06
47,1.2662237622862449e-06,1.266224103346758e-06
48,1.3185684792915708e-06,1.3185689340389217e-06
49,1.3572100669989595e-06,1.3572101806857972e-06
50,1.2847943935412331e-06,1.2847943935412331e-06
51,1.2370421700325096e-06,1.2370422837193473e-06
52,1.4093664049141807e-06,1.4093649269852904e-06
53,1.2138033298469963e-06,1.2138040119680227e-06
54,1.3854036069460562e-06,1.3854030385118676e-06
55,1.1408368436605087e-06,1.1408368436605087e-06
56,1.1224190075154183e-06,1.1224184390812297e-06
57,1.1834279121103464e-06,1.183427684736671e-06
58,1.0575349733699113e-06,1.0575349733699113e-06
59,1.3133712855051272e-06,1.313370944444614e-06
60,1.0711083859860082e-06,1.0711095228543854e-06
61,1.0751527952379547e-06,1.0751531362984679e-06
62,1.0255612323817331e-06,1.0255606639475445e-06
63,1.0382801747255144e-06,1.0382801747255144e-06
64,1.0435015838083928e-06,1.0435015838083928e-06
65,1.1526979051268427e-06,1.1526979051268427e-06
66,9.57092083808675e-07,9.570923111823504e-07
67,1.2109069302823627e-06,1.2109069302823627e-06
68,9.78071852841822e-07,9.780716254681465e-07
69,1.04137257039838e-06,1.0413723430247046e-06
70,1.0879879255298874e-06,1.087987698156212e-06
71,8.557479986848193e-07,8.557476007808873e-07
72,1.1294981732135057e-06,1.1294979458398302e-06
73,9.020355946631753e-07,9.020358788802696e-07
74,8.835174298837956e-07,8.835178846311464e-07
75,9.958247346730786e-07,9.95824962046754e-07
76,9.78257617134659e-07,9.78257617134659e-07
77,9.493738843957544e-07,9.493739412391733e-07
78,9.066491202247562e-07,9.066491202247562e-07
79,8.800518003226898e-07,8.800514592621766e-07
80,9.73223109212995e-07,9.732227681524819e-07
81,9.240812346433813e-07,9.240815188604756e-07
82,8.934956099437841e-07,8.934953257266898e-07
83,9.608285154172336e-07,9.608285154172336e-07
84,7.987885055626975e-07,7.987881645021844e-07
85,1.0895572586377966e-06,1.0895572586377966e-06
86,7.470905529771699e-07,7.470907235074264e-07
87,9.840875918598613e-07,9.840873644861858e-07
88,9.307831874139083e-07,9.307833579441649e-07
89,7.926275884528877e-07,7.926275884528877e-07
90,7.991880011104513e-07,7.991877737367759e-07
91,9.107745881919982e-07,9.107747018788359e-07
92,9.5599307314842e-07,9.559929594615824e-07
93,7.749256951683492e-07,7.749255246380926e-07
94,7.780700457260536e-07,7.78070329943148e-07
95,8.10713856935763e-07,8.10713856935763e-07
96,7.465642397619376e-07,7.465638987014245e-07
97,9.845276736086817e-07,9.845274462350062e-07
98,9.25951326280483e-07,9.259511557502265e-07
99,7.782525699440157e-07,7.7825285416111e-07
